Project,Type,Primary focus,Persistent organization/team,Async lateral work,Communication representation,Governance strength,Evidence maturity,Borrow,Reject/limit
AgentRadio,Research system,Async mid-execution collaboration,Task-local team,Yes,Natural-language/messages,Low,Benchmark: SWE-Atlas QnA,Passive awareness/action-boundary messages,Not full OS/governance
AOS,Reference architecture,Intent/authority/governance + runtime planes,Abstract distributed agents,Not specific,"Canonical objects, no universal language",High conceptually,No superiority claim; Draft v0.8,"IntentEnvelope, AuthorizationLineage, capability contracts, conformance",Not implementation proof
Qualixar OS,Runtime/orchestrator,Topology/team/model routing + judges,Dynamic teams,Topology-dependent,A2A canonical format,Medium,Curated 20-task suite; self-improvement negative preliminary result,"Topology catalog, cost routing, Goodhart monitoring",Do not treat judges/self-improvement as validated
OneManCompany,Research implementation,Artificial company/Talent Market/E2R,Strong organization model,Mostly hierarchical,Typed interfaces + agent backends,Medium,84.67% PRDBench; baseline cost unavailable,"Talent/Container split, capability-gap recruitment, review gates",Reject automatic offboarding
Microsoft AGT,Governance toolkit,Deterministic policy/interception/sandbox/SRE,Not organization-centric,N/A,Tool/message/delegation interception,High middleware,Implementation/tests; same-process limitation acknowledged,"Safety & Integrity patterns, fail closed, kill switch",Need OS/container isolation too
Agent libOS,Runtime substrate,Long-running capability-controlled AgentProcess,Parent/child processes,No team thesis,Typed Object Memory/syscalls,High,123 regression tests; not planner benchmark,"visibility != authority, primitive checks, fresh spawn, rollback honesty",Keep blocked-task model instead of self-requested permission
AIOS,Kernel/runtime research,Scheduling/context/memory/tool/access managers,Agent processes,No,System-call abstraction,Basic,COLM 2025; reported throughput/execution gains,Scheduler/syscall/context paging,Not organization/governance layer
AgentRM,Resource manager,MLFQ/zombie reaping/context lifecycle,Executions,No,N/A,Operational,Simulated workloads,"MLFQ, stall detection, hibernation",Do later; simulation not production proof
Paperclip,Product/control plane,Org charts/goals/budgets/governance,Strong company model,Event/heartbeat coordination,Natural-language/task objects,Product governance,"Product implementation, not research benchmark","Layman UX, budgets, portable companies",Not runtime semantics/ANL
AgentTeams,Product/platform,Transparent heterogeneous teams via Matrix,Teams/resources,Room-based,Natural-language Matrix,Gateway credentials,Operational project,"Human visibility, credential gateway, heterogeneous runtimes",Manager/room centric; no ANL
Meta-Team,Research framework,Collaborative post-task self-evolution,Team organization evolves,Post-task communication,Natural-language/reflection evidence,Evaluation-focused,Six long-horizon benchmarks; held-out sets,"Distributed failure attribution, multi-scale evolution",Do not expose hidden grades/direct self-commit
A2A,Open protocol,Discovery/tasks/messages/artifacts/streaming,Remote agents/systems,Protocol supports collaboration,Structured data/text/files,Transport/auth dependent,Released protocol v1.0,External federation/session carrier,Not internal semantic cognition or guaranteed message ledger
